Date,Open,High,Low,Close,Adj Close,Volume
2018-09-28,10.040000,10.040000,10.040000,10.040000,9.512137,0
2018-10-01,10.080000,10.080000,10.080000,10.080000,9.550035,0
2018-10-02,10.080000,10.080000,10.080000,10.080000,9.550035,0
2018-10-03,10.090000,10.090000,10.090000,10.090000,9.559508,0
2018-10-04,10.000000,10.000000,10.000000,10.000000,9.474241,0
2018-10-05,9.950000,9.950000,9.950000,9.950000,9.426868,0
2018-10-08,9.940000,9.940000,9.940000,9.940000,9.417394,0
2018-10-09,9.930000,9.930000,9.930000,9.930000,9.407923,0
2018-10-10,9.600000,9.600000,9.600000,9.600000,9.095271,0
2018-10-11,9.400000,9.400000,9.400000,9.400000,8.905787,0
2018-10-12,9.540000,9.540000,9.540000,9.540000,9.038425,0
2018-10-15,9.480000,9.480000,9.480000,9.480000,8.981580,0
2018-10-16,9.690000,9.690000,9.690000,9.690000,9.180539,0
2018-10-17,9.690000,9.690000,9.690000,9.690000,9.180539,0
2018-10-18,9.540000,9.540000,9.540000,9.540000,9.038425,0
2018-10-19,9.540000,9.540000,9.540000,9.540000,9.038425,0
2018-10-22,9.500000,9.500000,9.500000,9.500000,9.000529,0
2018-10-23,9.450000,9.450000,9.450000,9.450000,8.953157,0
2018-10-24,9.150000,9.150000,9.150000,9.150000,8.668930,0
2018-10-25,9.320000,9.320000,9.320000,9.320000,8.829993,0
2018-10-26,9.160000,9.160000,9.160000,9.160000,8.678406,0
2018-10-29,9.100000,9.100000,9.100000,9.100000,8.621560,0
2018-10-30,9.240000,9.240000,9.240000,9.240000,8.754197,0
2018-10-31,9.350000,9.350000,9.350000,9.350000,8.858417,0
2018-11-01,9.460000,9.460000,9.460000,9.460000,8.962632,0
2018-11-02,9.390000,9.390000,9.390000,9.390000,8.896312,0
2018-11-05,9.440000,9.440000,9.440000,9.440000,8.943683,0
2018-11-06,9.500000,9.500000,9.500000,9.500000,9.000529,0
2018-11-07,9.700000,9.700000,9.700000,9.700000,9.190013,0
2018-11-08,9.680000,9.680000,9.680000,9.680000,9.171066,0
2018-11-09,9.590000,9.590000,9.590000,9.590000,9.085796,0
2018-11-12,9.400000,9.400000,9.400000,9.400000,8.905787,0
2018-11-13,9.390000,9.390000,9.390000,9.390000,8.896312,0
2018-11-14,9.320000,9.320000,9.320000,9.320000,8.829993,0
2018-11-15,9.420000,9.420000,9.420000,9.420000,8.924734,0
2018-11-16,9.440000,9.440000,9.440000,9.440000,8.943683,0
2018-11-19,9.280000,9.280000,9.280000,9.280000,8.792095,0
2018-11-20,9.110000,9.110000,9.110000,9.110000,8.631033,0
2018-11-21,9.140000,9.140000,9.140000,9.140000,8.659455,0
2018-11-23,9.080000,9.080000,9.080000,9.080000,8.602610,0
2018-11-26,9.230000,9.230000,9.230000,9.230000,8.744724,0
2018-11-27,9.260000,9.260000,9.260000,9.260000,8.773148,0
2018-11-28,9.470000,9.470000,9.470000,9.470000,8.972107,0
2018-11-29,9.450000,9.450000,9.450000,9.450000,8.953157,0
2018-11-30,9.530000,9.530000,9.530000,9.530000,9.028952,0
2018-12-03,9.640000,9.640000,9.640000,9.640000,9.133167,0
2018-12-04,9.330000,9.330000,9.330000,9.330000,8.839467,0
2018-12-06,9.320000,9.320000,9.320000,9.320000,8.829993,0
2018-12-07,9.100000,9.100000,9.100000,9.100000,8.621560,0
2018-12-10,9.110000,9.110000,9.110000,9.110000,8.631033,0
2018-12-11,9.110000,9.110000,9.110000,9.110000,8.631033,0
2018-12-12,9.160000,9.160000,9.160000,9.160000,8.678406,0
2018-12-13,9.160000,9.160000,9.160000,9.160000,8.678406,0
2018-12-14,8.950000,8.950000,8.950000,8.950000,8.511970,0
2018-12-17,8.770000,8.770000,8.770000,8.770000,8.340779,0
2018-12-18,8.770000,8.770000,8.770000,8.770000,8.340779,0
2018-12-19,8.630000,8.630000,8.630000,8.630000,8.207630,0
2018-12-20,8.500000,8.500000,8.500000,8.500000,8.083993,0
2018-12-21,8.320000,8.320000,8.320000,8.320000,7.912802,0
2018-12-24,8.090000,8.090000,8.090000,8.090000,7.694060,0
2018-12-26,8.500000,8.500000,8.500000,8.500000,8.083993,0
2018-12-27,8.570000,8.570000,8.570000,8.570000,8.150567,0
2018-12-28,8.560000,8.560000,8.560000,8.560000,8.151520,0
2018-12-31,8.630000,8.630000,8.630000,8.630000,8.218179,0
2019-01-02,8.630000,8.630000,8.630000,8.630000,8.218179,0
2019-01-03,8.430000,8.430000,8.430000,8.430000,8.027722,0
2019-01-04,8.720000,8.720000,8.720000,8.720000,8.303885,0
2019-01-07,8.780000,8.780000,8.780000,8.780000,8.361020,0
2019-01-08,8.860000,8.860000,8.860000,8.860000,8.437203,0
2019-01-09,8.910000,8.910000,8.910000,8.910000,8.484818,0
2019-01-10,8.950000,8.950000,8.950000,8.950000,8.522907,0
2019-01-11,8.940000,8.940000,8.940000,8.940000,8.513385,0
2019-01-14,8.900000,8.900000,8.900000,8.900000,8.475294,0
2019-01-15,8.990000,8.990000,8.990000,8.990000,8.561000,0
2019-01-16,9.010000,9.010000,9.010000,9.010000,8.580047,0
2019-01-17,9.080000,9.080000,9.080000,9.080000,8.646705,0
2019-01-18,9.200000,9.200000,9.200000,9.200000,8.760979,0
2019-01-22,9.070000,9.070000,9.070000,9.070000,8.637182,0
2019-01-23,9.090000,9.090000,9.090000,9.090000,8.656228,0
2019-01-24,9.100000,9.100000,9.100000,9.100000,8.665751,0
2019-01-25,9.190000,9.190000,9.190000,9.190000,8.751456,0
2019-01-28,9.110000,9.110000,9.110000,9.110000,8.675273,0
2019-01-29,9.100000,9.100000,9.100000,9.100000,8.665751,0
2019-01-30,9.240000,9.240000,9.240000,9.240000,8.799070,0
2019-01-31,9.330000,9.330000,9.330000,9.330000,8.884776,0
2019-02-01,9.340000,9.340000,9.340000,9.340000,8.894299,0
2019-02-04,9.400000,9.400000,9.400000,9.400000,8.951435,0
2019-02-05,9.450000,9.450000,9.450000,9.450000,8.999049,0
2019-02-06,9.430000,9.430000,9.430000,9.430000,8.980003,0
2019-02-07,9.340000,9.340000,9.340000,9.340000,8.894299,0
2019-02-08,9.350000,9.350000,9.350000,9.350000,8.903821,0
2019-02-11,9.360000,9.360000,9.360000,9.360000,8.913343,0
2019-02-12,9.480000,9.480000,9.480000,9.480000,9.027616,0
2019-02-13,9.510000,9.510000,9.510000,9.510000,9.056186,0
2019-02-14,9.480000,9.480000,9.480000,9.480000,9.027616,0
2019-02-15,9.590000,9.590000,9.590000,9.590000,9.132368,0
2019-02-19,9.600000,9.600000,9.600000,9.600000,9.141891,0
2019-02-20,9.620000,9.620000,9.620000,9.620000,9.160936,0
2019-02-21,9.590000,9.590000,9.590000,9.590000,9.132368,0
2019-02-22,9.650000,9.650000,9.650000,9.650000,9.189505,0
2019-02-25,9.660000,9.660000,9.660000,9.660000,9.199029,0
